ticker,base,quote,exchange,price,ask,bid,spread,volume
eth-btc,eth,btc,binance,0.027148,0.027155,0.027148,7.000000000000062e-06,443569.586
ltc-btc,ltc,btc,binance,0.012335,0.012342,0.012335,7.000000000000062e-06,533530.32
bnb-btc,bnb,btc,binance,0.0029274,0.002929,0.0029276,1.4000000000003593e-06,3446141.16
neo-btc,neo,btc,binance,0.001373,0.001374,0.001373,9.999999999999159e-07,622598.85
qtum-eth,qtum,eth,binance,0.012985,0.013072,0.012971,0.0001010000000000004,72376.99
eos-eth,eos,eth,binance,0.028507,0.028574,0.028487,8.700000000000027e-05,456408.44
snt-eth,snt,eth,binance,0.00011889,0.00012022,0.0001185,1.7200000000000039e-06,1245460.0
bnt-eth,bnt,eth,binance,0.003214,0.003213,0.003161,5.199999999999996e-05,38808.06
bcc-btc,bcc,btc,binance,0.0,0.0,0.0,0.0,0.0
gas-btc,gas,btc,binance,0.000371,0.000373,0.000371,1.9999999999999944e-06,195674.06
bnb-eth,bnb,eth,binance,0.107877,0.108062,0.107776,0.00028600000000000847,224314.74
btc-usd,btc,usd,binance,7179.12,7181.32,7179.13,2.1899999999996,74835.084679
eth-usd,eth,usd,binance,194.86,194.86,194.72,0.14000000000001478,902605.14133
hsr-btc,hsr,btc,binance,0.0,0.0,0.0,0.0,0.0
oax-eth,oax,eth,binance,0.0008839,0.0008912,0.0008782,1.299999999999999e-05,394223.0
dnt-eth,dnt,eth,binance,7.666e-05,7.752e-05,7.69e-05,6.200000000000042e-07,2654199.0
mco-eth,mco,eth,binance,0.025202,0.025474,0.025057,0.0004170000000000007,21349.01
icn-eth,icn,eth,binance,0.0,0.0,0.0,0.0,0.0
mco-btc,mco,btc,binance,0.000683,0.000683,0.000681,2.0000000000000486e-06,131958.29
wtc-btc,wtc,btc,binance,0.0002755,0.0002763,0.0002748,1.4999999999999823e-06,1470039.79
wtc-eth,wtc,eth,binance,0.010181,0.01021,0.010061,0.00014899999999999983,66372.32
lrc-btc,lrc,btc,binance,8.11e-06,8.11e-06,8.07e-06,3.999999999999962e-08,6772299.0
lrc-eth,lrc,eth,binance,0.00029561,0.00029969,0.00029577,3.92000000000003e-06,884524.0
qtum-btc,qtum,btc,binance,0.000355,0.000355,0.000353,1.9999999999999944e-06,610037.08
yoyo-btc,yoyo,btc,binance,2.52e-06,2.53e-06,2.51e-06,1.999999999999981e-08,19210270.0
omg-btc,omg,btc,binance,0.000245,0.000246,0.000245,1.0000000000000243e-06,663026.72
omg-eth,omg,eth,binance,0.009089,0.009108,0.009028,8.000000000000021e-05,113771.94
zrx-btc,zrx,btc,binance,4.07e-05,4.082e-05,4.07e-05,1.1999999999999885e-07,6109350.0
zrx-eth,zrx,eth,binance,0.00148803,0.00150773,0.0014896,1.81300000000001e-05,792354.0
strat-btc,strat,btc,binance,0.0001193,0.0001194,0.000119,3.9999999999999617e-07,758610.69
strat-eth,strat,eth,binance,0.004404,0.00441,0.004382,2.8000000000000247e-05,98915.13
sngls-btc,sngls,btc,binance,1.99e-06,2e-06,1.99e-06,9.999999999999904e-09,12678454.0
sngls-eth,sngls,eth,binance,7.341e-05,7.401e-05,7.283e-05,1.1799999999999989e-06,2067430.0
bqx-btc,bqx,btc,binance,1.67e-05,1.669e-05,1.663e-05,6.000000000000281e-08,10725807.0
bqx-eth,bqx,eth,binance,0.0006137,0.0006302,0.0006128,1.739999999999999e-05,652529.0
knc-btc,knc,btc,binance,3.102e-05,3.111e-05,3.101e-05,9.999999999999565e-08,1317260.0
knc-eth,knc,eth,binance,0.0011451,0.0011544,0.00114,1.4400000000000133e-05,326162.0
fun-btc,fun,btc,binance,7.8e-07,7.9e-07,7.8e-07,9.999999999999904e-09,39118665.0
fun-eth,fun,eth,binance,2.914e-05,2.92e-05,2.873e-05,4.700000000000006e-07,11042378.0
snm-btc,snm,btc,binance,3.77e-06,3.77e-06,3.76e-06,9.999999999999904e-09,6317288.0
snm-eth,snm,eth,binance,0.00013931,0.00013931,0.00013834,9.699999999999856e-07,1426390.0
